regime,pkg,rep,h,est,se
varmiss,jwdid_uc,12,1,2.640836728209996,.0895479865541272
varmiss,jwdid_uc,12,2,3.282287376269824,.0853162971560717
varmiss,bjs,12,0,1.813627367411129,.0734040410221722
varmiss,bjs,12,1,2.635794980560604,.0819519698859922
varmiss,bjs,12,2,3.277904500006116,.0784982428854937
varmiss,bjs_wtr,12,0,1.972429833808519,.0774273144522526
varmiss,bjs_wtr,12,1,2.564474326234631,.0835880264496531
varmiss,bjs_wtr,12,2,3.019106727500912,.0827355014377118
varmiss,dcdh,12,0,1.681866166646127,.0987893994243907
varmiss,dcdh,12,1,2.426576159607619,.1360366785426797
varmiss,dcdh,12,2,2.944103880506009,.1230451287143083
varmiss,lpdid,12,0,1.582928627174173,.0996726976776588
varmiss,lpdid,12,1,2.260911318567911,.1568867721678373
varmiss,lpdid,12,2,2.85320399455835,.1459227831480724
varmiss,lpdid_rw,12,0,1.681866432581047,.1025296694473522
varmiss,lpdid_rw,12,1,2.369289861043562,.1602364218584323
varmiss,lpdid_rw,12,2,2.71825991752839,.1460641568658751
varmiss,sa,12,0,1.806742270709579,.0869334319303068
varmiss,sa,12,1,2.615847083056403,.0947666680099492
varmiss,sa,12,2,3.235493477781297,.0995629454779794
varmiss,csdid,13,0,1.927207569282036,.108141623309816
varmiss,csdid,13,1,2.452447264574452,.1146909652838079
varmiss,csdid,13,2,2.888158510254402,.1098953463843021
varmiss,jwdid,13,0,1.792831015516572,.0680594651997719
varmiss,jwdid,13,1,2.563528725356628,.0806983355134484
varmiss,jwdid,13,2,3.13506706188206,.0783892313269418
varmiss,jwdid_uc,13,0,1.792831015516575,.0800684645338624
varmiss,jwdid_uc,13,1,2.563528725356654,.0915400908444258
varmiss,jwdid_uc,13,2,3.135067061882086,.0842327568426432
varmiss,bjs,13,0,1.795302656737476,.0701341076753234
varmiss,bjs,13,1,2.548730305308709,.0826908474710202
varmiss,bjs,13,2,3.159814777933207,.0796972993633163
varmiss,bjs_wtr,13,0,1.983594702767732,.0727370087488811
varmiss,bjs_wtr,13,1,2.505681854454451,.0840271646302956
varmiss,bjs_wtr,13,2,2.974777927953255,.0830366773220963
varmiss,dcdh,13,0,1.630920721797967,.099352121506516
varmiss,dcdh,13,1,2.157789947005933,.1391810791177261
varmiss,dcdh,13,2,2.822863072298751,.1196642468869855
varmiss,lpdid,13,0,1.506682558849779,.1004291780609179
varmiss,lpdid,13,1,2.037521302563497,.1595734049853745
varmiss,lpdid,13,2,2.888863722560628,.1367199924180199
varmiss,lpdid_rw,13,0,1.630920576830741,.104532900439409
varmiss,lpdid_rw,13,1,2.187384482326584,.1656745085125746
varmiss,lpdid_rw,13,2,2.769649180606503,.1386304707364584
varmiss,sa,13,0,1.792166293711488,.0865453102602238
