design,campaign,tree,cell,seconds
inproc-50,r12,head,reg,.5629999999999999
inproc-50,r12,head,dr,1.723
inproc-50,supp1,s2,reg,.545
inproc-50,supp1,s2,dr,1.698
inproc-50,supp1,base,reg,.553
inproc-50,supp1,base,dr,1.709
inproc-50,supp1,head,reg,.554
inproc-50,supp1,head,dr,1.708
inproc-50,supp2,s2,reg,.548
inproc-50,supp2,s2,dr,1.705
inproc-50,supp2,head,reg,.553
inproc-50,supp2,head,dr,1.72
inproc-50,supp2,base,reg,.545
inproc-50,supp2,base,dr,1.697
inproc-50,supp3,head,reg,.5469999999999999
inproc-50,supp3,head,dr,1.708
inproc-50,supp3,s2,reg,.55
inproc-50,supp3,s2,dr,1.712
inproc-50,supp3,base,reg,.543
inproc-50,supp3,base,dr,1.697
inproc-50,supp4,head,reg,.544
inproc-50,supp4,head,dr,1.703
inproc-50,supp4,base,reg,.554
inproc-50,supp4,base,dr,1.705
inproc-50,supp4,s2,reg,.553
inproc-50,supp4,s2,dr,1.705
inproc-50,supp5,base,reg,.549
inproc-50,supp5,base,dr,1.699
inproc-50,supp5,head,reg,.553
inproc-50,supp5,head,dr,1.721
inproc-50,supp5,s2,reg,.5509999999999999
inproc-50,supp5,s2,dr,1.714
inproc-50,supp6,base,reg,.552
inproc-50,supp6,base,dr,1.7
inproc-50,supp6,s2,reg,.552
inproc-50,supp6,s2,dr,1.708
inproc-50,supp6,head,reg,.556
inproc-50,supp6,head,dr,1.704
inproc-50,supp7,s2,reg,.546
inproc-50,supp7,s2,dr,1.707
inproc-50,supp7,base,reg,.551
inproc-50,supp7,base,dr,1.693
inproc-50,supp7,head,reg,.55
inproc-50,supp7,head,dr,1.705
inproc-50,supp8,s2,reg,.556
inproc-50,supp8,s2,dr,1.712
inproc-50,supp8,head,reg,.5580000000000001
inproc-50,supp8,head,dr,1.713
inproc-50,supp8,base,reg,.554
inproc-50,supp8,base,dr,1.74
inproc-50,supp9,head,reg,.554
inproc-50,supp9,head,dr,1.711
inproc-50,supp9,s2,reg,.555
inproc-50,supp9,s2,dr,1.71
inproc-50,supp9,base,reg,.552
inproc-50,supp9,base,dr,1.699
inproc-50,supp10,head,reg,.552
inproc-50,supp10,head,dr,1.704
inproc-50,supp10,base,reg,.552
inproc-50,supp10,base,dr,1.701
inproc-50,supp10,s2,reg,.548
inproc-50,supp10,s2,dr,1.709
inproc-50,supp11,base,reg,.5529999999999999
inproc-50,supp11,base,dr,1.697
inproc-50,supp11,head,reg,.542
inproc-50,supp11,head,dr,1.703
inproc-50,supp11,s2,reg,.5469999999999999
inproc-50,supp11,s2,dr,1.712
inproc-50,supp12,base,reg,.5489999999999999
inproc-50,supp12,base,dr,1.724
inproc-50,supp12,s2,reg,.545
inproc-50,supp12,s2,dr,1.707
inproc-50,supp12,head,reg,.554
inproc-50,supp12,head,dr,1.718
source-compile,rep1,head,engine,.073
source-compile,rep1,s2,engine,.071
source-compile,rep1,base,engine,.667
source-compile,rep2,head,engine,.071
source-compile,rep2,s2,engine,.07
source-compile,rep2,base,engine,.667
source-compile,rep3,head,engine,.071
source-compile,rep3,s2,engine,.071
source-compile,rep3,base,engine,.668
source-compile,rep4,head,engine,.071
source-compile,rep4,s2,engine,.071
source-compile,rep4,base,engine,.6659999999999999
source-compile,rep5,head,engine,.071
source-compile,rep5,s2,engine,.071
source-compile,rep5,base,engine,.6659999999999999
source-compile,rep6,head,engine,.071
source-compile,rep6,s2,engine,.071
source-compile,rep6,base,engine,.667
source-compile,rep7,head,engine,.071
source-compile,rep7,s2,engine,.071
source-compile,rep7,base,engine,.667
